,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
346,77.0,,Continental Air Lines Inc.,1766.0,,9,,25493,,,2002
347,367.0,,Delta Air Lines Inc.,5574.0,,9,,57280,,,2002
348,202.0,,US Airways,2041.0,,9,,16555,,,2002
349,515.0,,American Eagle Airlines Inc.,4020.0,,9,,36582,,,2002
350,368.0,,Northwest Airlines Inc.,3592.0,,9,,41702,,,2002
351,168.0,,United Air Lines Inc.,3711.0,,9,,49615,,,2002
352,345.0,,US Airways,2493.0,,9,,40988,,,2002
353,983.0,,Southwest Airlines Co.,9387.0,,9,,79342,,,2002
354,466.0,,American Airlines Inc.,5672.0,,10,,71803,,,2002
355,406.0,,Alaska Airlines Inc.,1874.0,,10,,13263,,,2002
356,214.0,,Continental Air Lines Inc.,2914.0,,10,,27166,,,2002
357,435.0,,Delta Air Lines Inc.,7328.0,,10,,60814,,,2002
358,176.0,,US Airways,2278.0,,10,,17258,,,2002
359,885.0,,American Eagle Airlines Inc.,5792.0,,10,,38665,,,2002
360,290.0,,Northwest Airlines Inc.,3660.0,,10,,43536,,,2002
361,211.0,,United Air Lines Inc.,3881.0,,10,,51672,,,2002
362,203.0,,US Airways,3050.0,,10,,39338,,,2002
363,1263.0,,Southwest Airlines Co.,14532.0,,10,,83075,,,2002
364,387.0,,American Airlines Inc.,5664.0,,11,,66162,,,2002
365,340.0,,Alaska Airlines Inc.,1903.0,,11,,12110,,,2002
366,43.0,,Continental Air Lines Inc.,2131.0,,11,,25200,,,2002
367,391.0,,Delta Air Lines Inc.,6002.0,,11,,57432,,,2002
368,122.0,,US Airways,2009.0,,11,,15948,,,2002
369,921.0,,American Eagle Airlines Inc.,5277.0,,11,,35601,,,2002
370,316.0,,Northwest Airlines Inc.,3197.0,,11,,41776,,,2002
371,170.0,,United Air Lines Inc.,3959.0,,11,,46172,,,2002
372,150.0,,US Airways,2820.0,,11,,37016,,,2002
373,835.0,,Southwest Airlines Co.,11439.0,,11,,77607,,,2002
374,1025.0,,American Airlines Inc.,9755.0,,12,,68460,,,2002
375,286.0,,Alaska Airlines Inc.,2921.0,,12,,12745,,,2002
376,232.0,,Continental Air Lines Inc.,3574.0,,12,,26443,,,2002
377,1174.0,,Delta Air Lines Inc.,9588.0,,12,,58991,,,2002
378,166.0,,US Airways,2848.0,,12,,16139,,,2002
379,1509.0,,American Eagle Airlines Inc.,6910.0,,12,,35979,,,2002
380,622.0,,Northwest Airlines Inc.,5753.0,,12,,42773,,,2002
381,378.0,,United Air Lines Inc.,6821.0,,12,,48475,,,2002
382,810.0,,US Airways,6343.0,,12,,36580,,,2002
383,1154.0,,Southwest Airlines Co.,18936.0,,12,,80540,,,2002
384,955.0,,American Airlines Inc.,6612.0,,1,,66788,,,2003
385,393.0,,Alaska Airlines Inc.,1869.0,,1,,12610,,,2003
386,5.0,,JetBlue Airways,956.0,,1,,5010,,,2003
387,83.0,,Continental Air Lines Inc.,1877.0,,1,,25095,,,2003
388,851.0,,Independence Air,5622.0,,1,,25334,,,2003
389,671.0,,Delta Air Lines Inc.,5849.0,,1,,59724,,,2003
